Novel Name,Chapter Left off on,Last Read Date,,,,
Follow The Path of Dao From Infancy,37,,,,,
Global Abyss: My Skills Can Enhance Infinitely,,,,,,
Grinding Cultivation Toward Martial Saint,263,,,,,
I Practice Farming While The Rest Cultivate,191,,,,,
I've Become The King of Villains,50,,,,,
Immortality Cultivation: I Farm in the System Space,136,,,,,
Infinite Bloodcore,,,,,,
Mesmerizing Ghost Doctor,,,,,,
My Monster Fuses With Everything,,,,,,
Mysteries of Immortal Puppet Master,,,,,,
Mysterious Revival,170,,,,,
Mythical Era: I Evolve Into A Stellar Beast,28,,,,,
Overgod Ascension,194,,,,,
Pursuit The Truth,,,,,,
Qi Cultivation Starting From The Repair Panel,104,,,,,
Since The Red Moon Appeared,,,,,,
Sorcerer I Want To Be An Academic Prodigy,80,,,,,
The Clan Master Can't Possibly Be A Mortal,,,,,,
The Necromancer Is Amassing Troops Like Crazy,159,,,,,
This Spiritual Energy is Lethal,32,,,,,
"To achieve immortality, I cultivate using Qi Luck",218,,,,,
Two Realm Shuttle Gate,43,,,,,
Universe's Ultimate Boss,62,,,,,
Witch I'm Not Really The Deep Sea Ancient God,263,,,,,
"Witch, Fireball and the Evil God of Steam",28,10/30/2025,,,,
Wizard: Unlimited Profession Slots,187,11/1/2025,,,,
I Am Not A Goblin Slayer,150,11/1/2025,,,,
Wizard: I Can Synthesis Everything,161,1/28/2026,,,,
Longevity: My Talents Are A Bit Abundant,137,1/28/2026,,,,
Wizard: Start With Biological Transformation,109,1/28/2026,,,,
Demon Slaying Gaining 60 Years,97,2/3/2026,,,,
Slaying Demons Starting With Upgrading My Calligraphy,230,2/3/2026,,,,
Human Clan Defender,34,2/3/2026,,,,
Twilight Boundary,19,2/3/2026,,,,
Sixth Ring Wizard,187,2/3/2026,,,,
Wizard: Starting From The Skill Tree,219,2/11/2026,,,,
I Know All The Negative Effects of Entries,169,2/14/2026,,,,
Serial Player,111,2/14/2026,,,,
I Pick Up Talents On The Interstellar Battlefield,263,2/14/2026,,,,
Ghost Compendium,145,2/14/2026,,,,
Wizard Starting With Synthesizing Gems,223,2/14/2026,,,,
Longevity Begins With The Seven Injuries Fist,160,3/6/2026,,,,
Eternal Life From Talisman Painting,86,3/7/2026,,,,
Beating Instances Through Words Left By The Dead,337,3/7/2026,,,,
Global Survival D-Rank Personnel,120,3/7/2026,,,,
Becoming a Saint By Touching Corpses,323,4/5/2026,,,,
My healing Game,271,4/23/2026,,,,
Frightening Joke Above The Mist,164,4/23/2026,,,,
Horror Game Developer: My Games Aren't That Scary,410,4/23/2026,,,,
Easy Way of Cultivation: Power Cultivation,142,4/23/2026,,,,
Demon Cultivator With Celestial Book,139,4/23/2026,,,,
Foolish Game of the Gods,114,4/23/2026,,,,
Lord of Myriad Worlds,416,4/23/2026,,,,
God's Imitator,245,4/23/2026,,,,
